id,dataset,question,options,subject_name,topic_name,correct_answer,correct_index,expected_behavior,student_answer,student_index,missing_evidence,source_split
d9b1db11-0952-48ee-8505-ec4af9c40aa9,fct,"We perform the determination of prostate-specific antigen (PSA) to diagnose prostate cancer in adolescents and healthy elderly, without benign prostatic hyperplasia:","{'0': 'PSA sensitivity in adolescents will be higher than in the elderly.', '1': 'The specificity of PSA in adolescents will be lower than in the elderly.', '2': 'The internal validity of PSA in healthy adolescents or elderly will not change.', '3': 'The positive predictive value of PSA in adolescents will be higher than in the elderly.', 'correct answer': 'PSA sensitivity in adolescents will be higher than in the elderly.'}",medicine,,The internal validity of PSA in healthy adolescents or elderly will not change.,2,answer,PSA sensitivity in adolescents will be higher than in the elderly.,0,,val
d251b4d5-b4da-4ac7-a885-e9b19bc2e3a1,fct,"A healthy, full-term 1-day-old female is being evaluated after birth and is noted to have a cleft palate and a systolic ejection murmur at the second left intercostal space. A chest radiograph is obtained which reveals a boot-shaped heart and absence of a thymus. An echocardiogram is done which shows pulmonary stenosis with a hypertrophic right ventricular wall, ventricular septal defect, and overriding of the aorta. Which of the following additional features is expected to be seen in this patient?","{'0': 'Seizures due to hypocalcemia', '1': 'Catlike cry', '2': 'Hyperthyroidism from transplacental antibodies', '3': 'Increased phenylalanine in the blood', 'correct answer': 'Catlike cry'}",unknown,,Seizures due to hypocalcemia,0,answer,Catlike cry,1,,test
b9c33979-31a8-4eb2-a2d2-df696a7bce41,fct,"An 8-year-old boy is brought to the pediatrician’s office with his mother for a routine check-up. Although her son is doing well, the mother has some concerns with regards to his overall health. He was born at 39 weeks gestation via spontaneous vaginal birth. He is up to date on all vaccines and has met most of developmental milestones. She reports that he is shorter than his classmates and seems less developed physically than his older brother and sister when they were his age. Additionally, the boy’s teacher has some concerns regarding his learning capability not being at the level of his peers. His height and weight are at the 10th and 15th percentile respectively. He has a heart rate of 90/min, respiratory rate of 22/min, blood pressure of 110/65 mm Hg, and temperature of 37.0°C (98.6°F). At physical exam the child appears cheerful, well developed, and well nourished. He is small for his age. with upslanting palpebral fissures, flat occiput, low set ears, and a flat nose. Which of the following techniques would most likely identify the cause of this patient’s presentation?","{'0': 'Punnett square', '1': 'Karyotype', '2': 'Polymerase chain reaction', '3': 'Gene mapping', 'correct answer': 'Gene mapping'}",unknown,,Karyotype,1,answer,Gene mapping,3,,dev
9a1870c6-9a09-442c-ab0f-72b807c7b3cd,fct,Which of the following is not associated with gingival Lesions?,"{'0': 'Herpes', '1': 'Recurrent apthae', '2': 'Pemphigus', '3': 'Pyugenic granuloma', 'correct answer': 'Pyugenic granuloma'}",pathology,,Recurrent apthae,1,answer,Pyugenic granuloma,3,,val
d9311d13-e032-47e6-8bf7-6fc93f4a21ae,fct,The positive Trousseau sign where the carpal spasm occurs is characteristic of an electrolyte disturbance and can be easily identified in the Primary Care consultation with the help of a cuff to take the tension. Indicate the type of alteration of the electrolyte balance in question:,"{'0': 'Hypocalcemia', '1': 'Hypomagnesemia', '2': 'Hyperkalemia', '3': 'Hypernatremia', 'correct answer': 'Hyperkalemia'}",nursery,,Hypocalcemia,0,answer,Hyperkalemia,2,,test
20cda0b4-3189-4f7d-b4b5-7d7b689ba3f2,fct,A female with suspected child abuse was brought to the casualty with severe bleeding from the perineum. What should be the first line of management?,"{'0': 'Airway maintenance', '1': 'Internal iliac aery ligation', '2': 'Whole blood transfusion', '3': 'Inform police before staing the treatment', 'correct answer': 'Internal iliac aery ligation'}",surgery,,Airway maintenance,0,answer,Internal iliac aery ligation,1,,val
1ee7044e-b0b9-4503-8864-c71087b91908,fct,Young’s formula for calculating pediatric dose of a drug is:,"{'0': 'Age / Age+12 x Adult dose', '1': 'Age / 20 x Adult dose', '2': 'Weight (pounds) / 150 x Adult dose', '3': 'None of the above', 'correct answer': 'Age / 20 x Adult dose'}",dental,,Age / Age+12 x Adult dose,0,answer,Age / 20 x Adult dose,1,,val
f8987ced-102c-45e6-bae9-a4bbfa67e7b0,fct,Which is not a monosaccharide?,"{'0': 'Glucose', '1': 'Galactose', '2': 'Maltose', '3': 'Fructose', 'correct answer': 'Glucose'}",biochemistry,,Maltose,2,answer,Glucose,0,,val
cab051c4-dbf4-42e0-ba2c-04b8c4baee7b,fct,Apoprotein - C ?,"{'0': 'Activates lipoprotein lipase', '1': 'Inactivates lipoprotein lipase', '2': 'Facilitates triglyceride transpo', '3': 'All of the above', 'correct answer': 'Activates lipoprotein lipase'}",biochemistry,,All of the above,3,answer,Activates lipoprotein lipase,0,,test
890dd79b-611e-4de1-b1c2-885ba8370d53,fct,"21-year-old man seeking treatment because of lumps on the neck, after the acceptance of computer tomography contrast agent injection as shown in the monitor, the most likely diagnosis Why?","{'0': '⿐ pharyngeal cancer', '1': 'Lymphangioma', '2': 'Upper respiratory tract infection', '3': 'Deep neck infections', 'correct answer': 'Lymphangioma'}",unknown,,⿐ pharyngeal cancer,0,answer,Lymphangioma,1,,dev
