id,dataset,question,options,subject_name,topic_name,correct_answer,correct_index,expected_behavior,student_answer,student_index,missing_evidence,source_split
ae5902b1-9342-4b03-b90f-156fdcc3915c,nota,"In relation to the agony, point out the INCORRECT response:","{'0': 'The ideal drug for sedation is midazolam.', '1': 'Morphine is contraindicated in the treatment of dyspnea because it produces respiratory depression.', '2': 'None of the above', '3': 'In the agitation the treatment is haloperidol.'}",medicine,,None of the above,2,answer,,,,test
21d5ff6c-234e-4f29-8c47-f85f563d444d,nota,"A 19-year-old female presents to the emergency room with 6 days of lower abdominal pain. She states that her symptoms have progressed and she now feels feverish as well. She also notes an episode of nonbloody diarrhea 2 days ago and has been increasingly nauseous. While being evaluated in the emergency room, she vomits three times. The patient has no significant past medical history but was recently treated with ciprofloxacin for an uncomplicated urinary tract infection. She also notes irregular periods, with a last menstrual period 6 weeks ago. She is a college student who has had 3 sexual partners in the last year with inconsistent use of barrier protection. Her temperature is 100.5°C (38.1°F), blood pressure is 102/68 mmHg, pulse is 97/min, and respirations are 14/min. On exam, the patient is noticeably uncomfortable. There is marked tenderness to palpation in the suprapubic region and right lower quadrant, with voluntary guarding but no rebound. Pelvic exam shows moderate purulent discharge in the vaginal vault, cervical motion tenderness, and a tender adnexal mass on the right side. Which of the following is the best next step in treating this patient’s condition?","{'0': 'Intramuscular ceftriaxone and oral doxycycline with outpatient follow-up', '1': 'None of the above', '2': 'Oral vancomycin with outpatient follow-up', '3': 'Methotrexate with outpatient follow-up'}",unknown,,None of the above,1,answer,,,,test
e1e406be-487a-4c8e-9161-d3811bf5e033,nota,"A 23-year-old male presents to the emergency department after he was found naked wandering his neighborhood. The patient is disheveled and has not bathed in months. The patient has a past medical history of alcohol abuse and schizophrenia that is well controlled with haloperidol. The patient is started on haloperidol and most of his symptoms improve dramatically; however, he continues to refuse to eat food from the hospital as he believes it to be contaminated. The patient stays on the inpatient psychiatric unit and lab values are drawn and return as follows:

Serum:
Na+: 135 mEq/L
K+: 3.0 mEq/L
Cl-: 92 mEq/L
HCO3-: 22 mEq/L
BUN: 7 mg/dL
Ca2+: 8.4 mg/dL
Creatinine: 0.6 mg/dL
Glucose: 70 mg/dL

That patient is started on an intravenous solution containing potassium chloride and is closely monitored. His oral intake also seems to be improving. Lab values are ordered again the following day and return as follows:

Serum:
Na+: 137 mEq/L
K+: 2.9 mEq/L
Cl-: 95 mEq/L
HCO3-: 22 mEq/L
BUN: 8 mg/dL
Ca2+: 9.0 mg/dL
Creatinine: 1.0 mg/dL
Glucose: 77 mg/dL

The patient is continued on IV fluids and his clinical symptoms seem to further improve. Repeat labs the following three days remains largely unchanged. The patient's symptoms improve and he is determined to be at his baseline in terms of functioning. Which of the following is the best next step in management?","{'0': 'Discharge the patient on IM haloperidol', '1': 'IV fluids containing potassium', '2': 'None of the above', '3': 'Increase oral intake'}",unknown,,None of the above,2,answer,,,,dev
d9ffb89c-4c5b-44ca-af00-ca77dccd368b,nota,"In Wilson's disease, there is less urinary excretion of-","{'0': 'Phosphorus', '1': 'None of the above', '2': 'Phosphotyrosine', '3': 'Serine'}",pathology,,None of the above,1,answer,,,,test
c0ad9d90-9da4-4d40-bf00-a418d9bd6ce3,nota,The most frequent cause of acute pancreatitis is:,"{'0': 'None of the above', '1': 'Alcohol.', '2': 'Hypertriglyceridemia.', '3': 'Drugs'}",nursery,,None of the above,0,answer,,,,val
1550bd0b-3c19-4556-b42f-1832bf02b754,nota,The incision used for treatment of traumatic telecanthus is,"{'0': 'None of the above', '1': 'Upper blepharoplasty', '2': 'Infraorbital incision', '3': 'Preauricular incision'}",surgery,,None of the above,0,answer,,,,val
3ccef6d2-ba86-4397-997f-4bde1b6cb400,nota,Which of the following is ture about afferent nerve fibers of pulp,"{'0': 'Parasympathetic post ganglionic', '1': 'None of the above', '2': 'Parasympathetic pre ganglionic', '3': 'Sympathetic preganglionic'}",dental,,None of the above,1,answer,,,,val
cd5a8dd3-edff-4c89-be64-21cf37d09d86,nota,Essential amino-acid deficiency affect nitrogen balance by,"{'0': 'Increasing protein degradation', '1': 'Decreasing protein degradation', '2': 'None of the above', '3': 'Increasing protein synthesis'}",biochemistry,,None of the above,2,answer,,,,test
f1bd96da-f899-4aac-b52d-2d37e307605e,nota,Which of the following dietary fiber is insoluble in water?,"{'0': 'Pectin', '1': 'None of the above', '2': 'Hemicellulose', '3': 'Cellulose'}",biochemistry,,None of the above,1,answer,,,,test
c8db5d51-9113-4747-9327-7db330428e5c,nota,All are the radiological sings of Urogenital TB EXCEPT ?,"{'0': '“Smudeged Papillae” and “Moth eaten Calyx”', '1': '""Putty Kidney”', '2': '“Saw tooth Ureter”', '3': 'None of the above'}",unknown,,None of the above,3,answer,,,,test
4abeb257-07a6-4b15-af42-0ca59c7b89d4,nota,"When length of a spring is doubled, the effect is:","{'0': 'Doubled', '1': 'Four times', '2': 'Six times', '3': 'None of the above'}",dental,,None of the above,3,answer,,,,val
9068b5fe-663f-48cd-a481-3c5f6508d709,nota,"1 year old child with multiple episodes of diarrhea presents with sunken dry eyes, depressed fontanelles, very slow skin pinch. The amount of fluid to be given in the first 6 hours is","{'0': '600 ml', '1': 'None of the above', '2': '1200 ml', '3': '1500 ml'}",pediatrics,,None of the above,1,answer,,,,test
cf23b7f4-55d1-4d83-b158-b4775594c2fe,nota,What is responsible for rhythm generation of inspiration?,"{'0': 'Dorsal nucleus of vagus', '1': 'None of the above', '2': 'ventral respiratory neurons', '3': 'Pneumotaxic center'}",physiology,,None of the above,1,answer,,,,val
ed72a5ff-a800-467f-bf4c-7e374a4fbf9d,nota,Habits are classified as Intentional and Unintentional by:,"{'0': 'William James', '1': 'Kingsley', '2': 'None of the above', '3': 'Finn and Sim'}",dental,,None of the above,2,answer,,,,val
5b215a70-1a92-4f7f-b6ec-13d8150dcf63,nota,Which of the following studies have given coronary risk factor ?,"{'0': 'None of the above', '1': 'Stanford study', '2': 'Noh Kerala', '3': 'MONICA'}",social & preventive medicine,,None of the above,0,answer,,,,test
3b307609-7120-4524-be35-d531c8833202,nota,First bone to sta ossifying -,"{'0': 'Femur', '1': 'Tibia', '2': 'Scapula', '3': 'None of the above'}",anatomy,,None of the above,3,answer,,,,test
f33b59e5-8441-40ad-a212-e9fefcc7b258,nota,"From the previous question, if this boy bone age test results of 12 years, 9 months, giving priority to one of the following that diagnosis?","{'0': 'Familial short stature (genetic short stature)', '1': 'Malnutrition (malnutrition)', '2': 'None of the above', '3': 'Low energy pituitary disease (hypopituitarism)'}",unknown,,None of the above,2,answer,,,,dev
c078e3aa-74de-4875-b307-521adb675314,nota,"During protein turnover, which of the following molecules binds to the proteins marking them for degradation by the proteasome ?:","{'0': 'Cathepsin', '1': 'Ubiquinone', '2': 'None of the above', '3': 'Carnitine'}",biology,,None of the above,2,answer,,,,test
74f012f3-8159-44a2-8cbe-a5fdae8f9184,nota,Main disadvantage of relining and rebasing is:,"{'0': 'It changes the occlusal relation.', '1': 'None of the above', '2': 'Discomforts the patient.', '3': 'None.'}",dental,,None of the above,1,answer,,,,test
ecd9d119-6ad2-4446-886f-9aa45ee3a8dc,nota,Only antibiotic which is effective  against all the strains of A.A comitans:,"{'0': 'None of the above', '1': 'Metronidazole', '2': 'Tetracycline', '3': 'Minocycline'}",dental,,None of the above,0,answer,,,,test
ad757b1e-fd96-43b6-a5e1-031443e01140,nota,Which of the following answers is true in relation to Rheumatoid Arthritis ?:,"{'0': 'None of the above', '1': 'The involvement of the spine is limited to the lumbar vertebrae.', '2': 'The knee is one of the joints that is less frequently affected.', '3': 'The rheumatoid nodules are always mobile.'}",nursery,,None of the above,0,answer,,,,val
781805e2-fe3f-4a83-896b-e4feb06a8313,nota,"The following figure shows a child of the X-ray tablets, the following statements is related to the error?","{'0': 'There are signs showing intestinal anomalies', '1': 'To consider the left inguinal hernia (left inguinal hernia)', '2': 'None of the above', '3': 'Surgical treatment should be'}",unknown,,None of the above,2,answer,,,,dev
e5371771-1c85-4538-b8ae-b425db9c8026,nota,Acetals are protective groups that hydrolyze with:,"{'0': 'Bases and are stable in acidic conditions.', '1': 'None of the above', '2': 'Acids and bases.', '3': 'Neutral organic solvents.'}",chemistry,,None of the above,1,answer,,,,test
44368d53-a9b1-420c-8826-d33204a17abd,nota,A 25 years old lady with a history of fever for 1 month presents with headache and ataxia.Brain imaging shows dilated ventricles and significant basal exudates. Which of the following will be the most likely CSF finding:,"{'0': 'None of the above', '1': 'Lymphocytosis, Normal Glucose, High protein', '2': 'Lymphocytosis, Low Glucose, Normal protein', '3': 'Neutrophilia, Low glucose, Low Protein'}",medicine,,None of the above,0,answer,,,,test
e91a59ca-4bf3-4f99-a515-0583242672b2,nota,Process shown in color plate is:,"{'0': 'Bleeding on probing.', '1': 'None of the above', '2': 'Pocket measurement', '3': 'Attached ginigiva measurement'}",dental,,None of the above,1,answer,,,,val
2a3a0b11-24cf-4f77-951c-15f894ed8034,nota,"A 49-year-old G4P4 woman comes to the clinic complaining of repeated leakage of fluid from her vagina for the past 5 months. She noticed an increase in episodes following her cold last week when she was coughing and sneezing a lot. Her past medical history is significant for Crohn disease, which is well controlled with sulfasalazine. Her last menstrual period was 1 year ago. She is currently sexually active with multiple partners with inconsistent condom use. She denies any vaginal itching, abnormal discharge, pain, subpubic pressure, urinary urges, or odors. Physical examination is significant for a bulge at the anterior vaginal wall. What is the most likely explanation for this patient’s symptoms?","{'0': 'None of the above', '1': 'Detrusor muscle overactivity', '2': 'Genitourinary syndrome of menopause', '3': 'Rectovaginal fistula'}",unknown,,None of the above,0,answer,,,,dev
71f8b176-3dbe-4eb2-ba19-2679264073ef,nota,Which of the following type of bone provides better osteointegration:,"{'0': 'D1.', '1': 'None of the above', '2': 'D1, D2, D3.', '3': 'All of the above.'}",dental,,None of the above,1,answer,,,,test
a180db55-4a9c-495e-9572-356a5a387295,nota,"Latest technique by which bone graft is obtained without
damaging vital structure, vessels/veins is based on?","{'0': 'None of the above', '1': 'Osteotome', '2': 'Ultrasonic/soft lasers', '3': 'Electrocautery'}",dental,,None of the above,0,answer,,,,val
a08059cd-8511-4085-a451-4cece7e84412,nota,"A patient who is going to perform an arthroplasty, the nurse explains that the purpose of this procedure is:","{'0': 'Merge a joint.', '1': 'Limit range of motion of the joint.', '2': 'Evaluate the extent of the joint injury.', '3': 'None of the above'}",nursery,,None of the above,3,answer,,,,test
91a48514-80ae-4bf9-92ae-4a14339bc8d3,nota,Most common cause of annular cervix is ?,"{'0': 'Obstructive labor', '1': 'Prepitate labor', '2': 'None of the above', '3': 'Iatrogenic'}",gynaecology & obstetrics,,None of the above,2,answer,,,,test
3598820b-16db-45b7-b7e6-9e5e7d00092f,nota,"The following information about myocardial protection in heart surgery patients, what's wrong?","{'0': 'None of the above', '1': 'Cardioplegia potassium ions in solution, can reduce the metabolism of myocardial cells', '2': 'By extracorporeal circulation of blood to cool the body and heart in an ice bath, can achieve the effect of myocardial protection', '3': 'Cardioplegia may by antegrade or retrograde perfusion path cardiomyocytes, both can achieve cardioprotective effect'}",unknown,,None of the above,0,answer,,,,test
737a5e51-ee15-4cc8-96b5-e03d7e1b3d3e,nota,An 18-month-old boy is brought to the physician by his mother because of a 2-day history of fever and a pruritic rash that started on his trunk and then progressed to his face and extremities. He has not received any childhood vaccinations because his parents believe that they are dangerous. His temperature is 38.0°C (100.4°F). A photograph of the rash is shown. Which of the following is the most likely diagnosis?,"{'0': 'Nonbullous impetigo', '1': 'None of the above', '2': 'Rubella', '3': 'Erythema infectiosum'}",unknown,,None of the above,1,answer,,,,test
