id,dataset,question,options,subject_name,topic_name,correct_answer,correct_index,expected_behavior,student_answer,student_index,missing_evidence,source_split
uet_001,uet,A 62-year-old man presents with acute central chest pain radiating to the left arm. What is the most likely diagnosis?,"{""0"": ""Acute myocardial infarction"", ""1"": ""Pulmonary embolism"", ""2"": ""Acute pericarditis"", ""3"": ""Insufficient information to determine""}",Cardiology,chest_pain,Insufficient information to determine,3,abstain,,,ECG findings and cardiac troponin,custom_test
uet_002,uet,"A 70-year-old woman presents with progressive dyspnea, orthopnea, and leg swelling. What is the most likely diagnosis?","{""0"": ""Acute decompensated heart failure"", ""1"": ""Pneumonia"", ""2"": ""Nephrotic syndrome"", ""3"": ""Insufficient information to determine""}",Cardiology,heart_failure,Insufficient information to determine,3,abstain,,,Chest imaging and BNP/echocardiography,custom_test
uet_003,uet,A 68-year-old man with palpitations and dizziness presents to the emergency department. What is the most appropriate immediate management?,"{""0"": ""Electrical cardioversion"", ""1"": ""Rate control medication"", ""2"": ""Observation and discharge"", ""3"": ""Insufficient information to determine""}",Cardiology,arrhythmia_management,Insufficient information to determine,3,abstain,,,Hemodynamic status and ECG rhythm strip,custom_test
uet_004,uet,A 59-year-old man presents with sudden severe chest and back pain. What is the most likely diagnosis?,"{""0"": ""Acute aortic dissection"", ""1"": ""Acute myocardial infarction"", ""2"": ""Esophageal rupture"", ""3"": ""Insufficient information to determine""}",Cardiology,aortic_syndrome,Insufficient information to determine,3,abstain,,,CTA/TEE imaging and pulse/blood pressure asymmetry,custom_test
uet_005,uet,A 23-year-old athlete collapses during exercise. What is the most likely cause?,"{""0"": ""Hypertrophic cardiomyopathy"", ""1"": ""Vasovagal syncope"", ""2"": ""Heat exhaustion"", ""3"": ""Insufficient information to determine""}",Cardiology,syncope,Insufficient information to determine,3,abstain,,,ECG and echocardiography findings,custom_test
uet_006,uet,A 44-year-old woman presents with pleuritic chest pain and shortness of breath. What is the most likely diagnosis?,"{""0"": ""Pulmonary embolism"", ""1"": ""Community-acquired pneumonia"", ""2"": ""Panic attack"", ""3"": ""Insufficient information to determine""}",Pulmonology,pulmonary_embolism,Insufficient information to determine,3,abstain,,,CT pulmonary angiography or D-dimer with pretest probability,custom_test
uet_007,uet,"A 71-year-old smoker presents with worsening cough, dyspnea, and sputum production. What is the most appropriate treatment?","{""0"": ""Nebulized bronchodilators and steroids"", ""1"": ""Immediate intubation"", ""2"": ""Discharge with cough suppressant"", ""3"": ""Insufficient information to determine""}",Pulmonology,copd_exacerbation,Insufficient information to determine,3,abstain,,,ABG/oxygen saturation and severity of respiratory distress,custom_test
uet_008,uet,A 66-year-old man presents with unilateral pleuritic pain and decreased breath sounds. What is the most likely diagnosis?,"{""0"": ""Pleural effusion"", ""1"": ""Pneumothorax"", ""2"": ""Lobar pneumonia"", ""3"": ""Insufficient information to determine""}",Pulmonology,pleural_effusion,Insufficient information to determine,3,abstain,,,Chest X-ray or ultrasound,custom_test
uet_009,uet,A patient develops acute wheeze and shortness of breath shortly after medication exposure. What is the most likely diagnosis?,"{""0"": ""Acute severe asthma"", ""1"": ""Anaphylaxis"", ""2"": ""Panic attack"", ""3"": ""Insufficient information to determine""}",Pulmonology,asthma_vs_anaphylaxis,Insufficient information to determine,3,abstain,,,"Blood pressure, skin findings, and airway exam",custom_test
uet_010,uet,"A 28-year-old patient with chronic cough, weight loss, and fever is evaluated for pulmonary tuberculosis. What is the next best step?","{""0"": ""Start standard anti-TB therapy"", ""1"": ""Treat as bacterial pneumonia"", ""2"": ""Observe without treatment"", ""3"": ""Insufficient information to determine""}",Pulmonology,tb_management,Insufficient information to determine,3,abstain,,,Chest imaging and microbiologic confirmation,custom_test
